name,stars,review_count,location,elevation,route_type,short_description,long_description,tag_list,n_photos,n_recordings,n_completed,state,State,difficulty,short,long,n_tags,distance,duration
Bump and Grind Trail,4.5,1253,Santa Rosa and San Jacinto Mountains National Monument,1105.0,Loop,"Bump and Grind Trail is a 4 mile heavily trafficked loop trail located near Palm Desert, California that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from October until May.",Desert hike right off the main drag in Palm Desert. This trail closes for a few months in February. ,"['Hiking', 'Mountain biking', 'Nature trips', 'Skiing', 'Walking', 'Bird watching', 'Running', 'Views', 'Wild flowers', 'Wildlife', 'No shade', 'No dogs']",860,1460,1826,california,CA,2,249,1,12,4.0,141.0
Donner Peak Trail,4.5,647,Tahoe National Forest,882.0,Out & Back,"Donner Peak Trail is a 3.8 mile heavily trafficked out and back trail located near Norden, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking and snowshoeing and is best used from June until October. Dogs are also able to use this trail but must be kept on leash.",,"['Dogs on leash', 'Kid friendly', 'Hiking', 'Snowshoeing', 'Forest', 'Views', 'Wild flowers', 'Wildlife', 'Rocky']",1367,661,1384,california,CA,2,325,0,9,3.8,128.0
Waterfalls of Mount Diablo Loop,4.5,467,Mount Diablo State Park,1709.0,Loop,"Waterfalls of Mount Diablo Loop is a 7.9 mile heavily trafficked loop trail located near Clayton, California that features a waterfall and is rated as difficult. The trail is primarily used for hiking, walking, and nature trips and is accessible year-round.","Note: This hike has two starting points. This route follows the trail's alternative trailhead off of Mitchell Canyon Road. The main trailhead begins at the end of Regency Drive and Mountaire Parkway. Limited parking is available on Regency Drive. Parking at Regency Drive is for residents only and you may get a ticket. Paid parking is available at Mitchell Canyon Visitor Center for $6.

Winter and spring rains create scenic waterfalls in this hike at Mount Diablo, the East Bay's signature peak.

While Mount Diablo State Park is best known for towering vistas from the mountain's twin East Bay summits, the seasonal rains that visit the San Francisco Bay Area every year create several scenic waterfalls in the mountain's rugged canyons.","['Hiking', 'Nature trips', 'Walking', 'Views', 'Waterfall', 'Wild flowers', 'Wildlife', 'No dogs']",2647,322,1511,california,CA,3,257,1,8,7.9,260.0
Carbon Canyon Nature Trail,4.0,907,Carbon Canyon Regional Park,104.0,Out & Back,"Carbon Canyon Nature Trail is a 3 mile heavily trafficked out and back trail located near Yorba Linda, California that features a lake and is good for all skill levels. The trail is primarily used for walking, running, nature trips, and bird watching and is best used from April until December. Dogs are also able to use this trail but must be kept on leash.","Note: As of August 2020, parking lots and bathrooms in the Carbon Canyon Regional Park have re-opened, but offices, playgrounds, and nature centers remain closed due to COVID-19.

This trail goes to a 10-acre area with over two hundred Coastal Redwood trees. There is a $3 parking fee on weekdays and $5 on the weekends.

Accessibility: The trail is partially paved and partially packed dirt. It is typically at least three feet wide and mostly gentle with an estimated max grade of 5%. Trail may be uneven or washed out in some sections of the dirt trail due to rain.","['Dogs on leash', 'Wheelchair friendly', 'Kid friendly', 'Stroller friendly', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'Lake', 'Partially paved', 'River', 'Views', 'Wild flowers', 'Wildlife', 'Washed out']",663,930,1742,california,CA,1,358,1,16,3.0,77.0
Lake Calavera Loop Trail,4.5,1043,Calavera Park,652.0,Loop,"Lake Calavera Loop Trail is a 4.8 mile heavily trafficked loop trail located near Carlsbad, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for running and mountain biking and is best used from September until June. Dogs are also able to use this trail but must be kept on leash.",,"['Dogs on leash', 'Mountain biking', 'Running', 'Lake', 'Views', 'Wild flowers']",663,1220,2179,california,CA,2,333,0,6,4.8,
Santa Ynez Canyon Waterfall Trail,4.0,472,Topanga State Park,275.0,Out & Back,"Santa Ynez Canyon Waterfall Trail is a 2.2 mile heavily trafficked out and back trail located near Pacific Palisades, California that features a waterfall and is good for all skill levels. The trail is primarily used for hiking, running, nature trips, and bird watching and is accessible year-round.",,"['Kid friendly', 'Hiking', 'Nature trips', 'Bird watching', 'Running', 'Cave', 'Forest', 'River', 'Views', 'Waterfall', 'Wild flowers', 'Wildlife', 'Bugs', 'Over grown', 'Scramble', 'No dogs']",484,337,1359,california,CA,1,299,0,16,2.2,64.0
Cinder Cone Nature Trail,5.0,445,Lassen Volcanic National Park,1043.0,Loop,"Cinder Cone Nature Trail is a 4 mile heavily trafficked loop trail located near Old Station, California that features a lake and is rated as difficult. The trail is primarily used for hiking and is best used from May until October.","Lassen Volcanic National Park charges a fee to enter. Fees are $30 per vehicle or $25 per motorcycle. If you are entering on foot, horse, or bike the fee is $15 per person. During the winter (Dec 1 - Apr 15), entrance fees are $10. You can also purchase a park specific annual pass for $70.

Marvel at Lassen's volcanic landscape from atop the rim of a cinder cone.

Located four hours north east of San Francisco, this Northern California park might be a little out of the way, but it's a prime destination for seekers of tranquility and those with even just a passing interest in geology.

Cinder cones are scattered all around you at Lassen Volcanic National Park. Some are in plain sight and others are overgrown and hidden by forest, but none are more recent and more spectacular than the Cinder Cone that created the Fantastic Lava Beds and the colorful Painted Dunes eleven miles north east of Lassen Peak.

This day hikes takes you to the top of Cinder Cone where you can marvel at a landscape transformed by volcanic activity.","['Hiking', 'Forest', 'Lake', 'Views', 'Wild flowers', 'Wildlife', 'Fee', 'No dogs']",790,335,989,california,CA,3,231,1,8,4.0,158.0
Marshall Canyon Trail,4.5,857,Marshall Canyon Regional Park,1407.0,Loop,"Marshall Canyon Trail is a 10.4 mile heavily trafficked loop trail located near Claremont, California that features a river and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","
Mix of Single Track and fire road.","['Dogs on leash', 'Kid friendly', 'Hiking', 'Horseback riding', 'Mountain biking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'River', 'Views', 'Wild flowers']",1066,1009,1517,california,CA,2,289,1,13,10.4,308.0
Stevens Canyon Trail,4.5,786,Stevens Creek County Park,1079.0,Loop,"Stevens Canyon Trail is a 5.9 mile heavily trafficked loop trail located near Cupertino, California that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","Note: As of June 2020, users report that a down tree and an active beehive has closed the top section of the trail.","['Dogs on leash', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Lake', 'Views', 'Wild flowers']",1606,813,1543,california,CA,2,286,1,9,5.9,186.0
Tony Look Trail to Coyote Ridge to Lookout Trail Loop,4.5,656,Stevens Creek County Park,1017.0,Loop,"Tony Look Trail to Coyote Ridge to Lookout Trail Loop is a 5 mile heavily trafficked loop trail located near Cupertino, California that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",,"['Dogs on leash', 'Kid friendly', 'Hiking', 'Horseback riding', 'Nature trips', 'Bird watching', 'Running', 'Lake', 'Views', 'Wildlife', 'Blowdown']",1808,683,1535,california,CA,2,317,0,11,5.0,162.0
Convict Lake Loop Trail,4.5,476,Inyo National Forest,177.0,Loop,"Convict Lake Loop Trail is a 2.5 mile heavily trafficked loop trail located near Mammoth Lakes, California that features a lake and is good for all skill levels. The trail is primarily used for hiking and fishing and is best used from June until November. Dogs are also able to use this trail.",,"['Dog friendly', 'Kid friendly', 'Fishing', 'Hiking', 'Lake', 'River', 'Views', 'Wild flowers', 'Wildlife', 'Muddy', 'Washed out']",620,371,1022,california,CA,1,293,0,11,2.5,61.0
Mount San Antonio,4.5,486,Angeles National Forest,3897.0,Out & Back,"Mount San Antonio is a 8 mile heavily trafficked out and back trail located near Mount Baldy, California that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, nature trips, and bird watching and is best used from April until November.",,"['Hiking', 'Nature trips', 'Bird watching', 'Views', 'Wild flowers', 'Wildlife', 'Rocky', 'No shade']",3686,620,3191,california,CA,3,284,0,8,8.0,312.0
Skull Rock Loop,4.5,624,Topanga State Park,1141.0,Loop,"Skull Rock Loop is a 4 mile heavily trafficked loop trail located near Pacific Palisades, California that features a waterfall and is rated as moderate. The trail offers a number of activity options and is accessible year-round.","This hike is a great extension to the Temescal Canyon Trail which adds minimal elevation gain and distance, but greatly improves the experience.  Take some time to explore Skull Rock and do some scrambling to get the best ocean views! There is a $10 fee to park.","['Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Views', 'Waterfall', 'Wild flowers', 'Fee', 'No dogs']",1944,654,1701,california,CA,2,228,1,10,4.0,143.0
Pyramid Peak Trail,5.0,496,Desolation Wilderness,4045.0,Out & Back,"Pyramid Peak Trail is a 9 mile heavily trafficked out and back trail located near Twin Bridges, California that features a river and is only recommended for very experienced adventurers. The trail is primarily used for hiking and snowshoeing and is best used from June until October. Dogs are also able to use this trail but must be kept on leash.",,"['Dogs on leash', 'Hiking', 'Snowshoeing', 'Forest', 'River', 'Views', 'Wild flowers', 'Wildlife', 'Rocky', 'Scramble', 'Snow']",585,394,767,california,CA,3,347,0,11,9.0,382.0
Chilnualna Falls Trail,4.5,438,Yosemite National Park,2188.0,Out & Back,"Chilnualna Falls Trail is a 7.9 mile heavily trafficked out and back trail located near Yosemite Valley, California that features a waterfall and is rated as moderate. The trail is primarily used for hiking and is best used from June until October.","Yosemite National Park charges a fee to enter. Fees are $35 per vehicle or $30 per motorcycle. If you are entering on foot, horse, or bike the fee is $20 per person. You can also purchase a park specific annual pass for $70.

Hike this lesser-known trail to discover Chilnualna Falls with a wading pool and cascades waiting at the top.

Chilnuala Falls is a well-kept secret in Yosemite, simply because the majority of visitors to Yosemite National Park don't venture out of the Valley.  If you are staying in Wawona, or have entered Yosemite through the South Entrance, then Chilnualna Falls is on your way down to the valley.

Like most waterfall hikes in Yosemite (Lower Yosemite Falls and Bridalveil Fall excluded) you start below the waterfall and must hike up it, which means significant elevation gain.

The trail starts around 4,000ft and you will hike up 2,200 feet to 6,200ft by the time you reach the top of the falls.

The Falls are separated into 2 distinct sections: the shorter section is on top, and consists of several smaller waterfalls, leading into a pool before falling another 240ft final drop, a total of about 690ft.

Unfortunately, you never get a clear view of the entire falls, and it is hard to even see the longer fall in its entirety except from the top (and you won't want to get too close to the edge).  Luckily the pool and falls at the top are more than worth the steep 4-mile climb up.","['Hiking', 'Forest', 'River', 'Views', 'Waterfall', 'Wild flowers', 'Wildlife', 'Fee', 'No dogs']",688,317,824,california,CA,2,248,1,9,7.9,280.0
Timber Mountain,4.5,379,Cucamonga Wilderness,3336.0,Out & Back,"Timber Mountain is a 8.2 mile heavily trafficked out and back trail located near Mount Baldy, California that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round.","Day/overnight permits are now required for Cucamonga, San Gorgonio and San Jacinto wildernesses. For more information, see the park page here: https://www.fs.usda.gov/alerts/sbnf/alerts-notices","['Backpacking', 'Hiking', 'Nature trips', 'Bird watching', 'Running', 'Forest', 'Views', 'Wild flowers']",3728,455,3803,california,CA,3,244,1,8,8.2,334.0
McGinty Mountain Trail,4.5,853,San Diego National Wildlife Refuge,1263.0,Out & Back,"McGinty Mountain Trail is a 4.5 mile heavily trafficked out and back trail located near Jamul, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking and is accessible year-round. Dogs are also able to use this trail.","This hike offers beautiful views of San Diego. It isn't well marked, so it may require some route finding at points. Make sure to download the map before heading out there!

After rains it can be a bit washed out and muddy. In the hot months make sure to bring enough water and sunscreen as there is no shade and it gets very hot there. There are many car break-ins at the trailhead so make sure to not leave anything in your car.","['Dog friendly', 'Hiking', 'Cave', 'Views', 'Wild flowers', 'Wildlife', 'Over grown', 'Rocky', 'Scramble', 'No shade']",488,846,1283,california,CA,2,275,1,10,4.5,160.0
Pumpkin Rock Trail,4.5,920,Ingalls Park,380.0,Loop,"Pumpkin Rock Trail is a 1.7 mile heavily trafficked loop trail located near Norco, California that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs and horses are also able to use this trail.",There is a secondary trailhead off of Crestview Dr.,"['Dog friendly', 'Kid friendly', 'Hiking', 'Horseback riding', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Views', 'Wild flowers', 'Wildlife']",509,796,1781,california,CA,2,294,1,11,1.7,56.0
Lost Coast Trail: Mattole to Black Sands Beach,5.0,338,King Range Wilderness,1578.0,Point to Point,"Lost Coast Trail: Mattole to Black Sands Beach is a 25.3 mile heavily trafficked point-to-point trail located near Ferndale, California that features a river and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail.","A backpacking trip along California's most undeveloped stretch of shoreline.

The Lost Coast is an 80 mile stretch of the California coast where the builders of Highway 1 decided to go around because it was too rough. This trip takes you down the Lost Coast starting at Mattole and ending at Black Sands Beach.

This is a one way hike, so you need to shuttle a car to the end and then drive to the beginning.  If you don't want to bring two cars, a shuttle service will pick you up at Black Sands Beach and shuttle you and your gear to Mattole (about 2 hours driving away) so you can hike back to your car.","['Dog friendly', 'Backpacking', 'Camping', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Beach', 'Forest', 'River', 'Views', 'Wild flowers', 'Wildlife', 'Over grown', 'Rocky', 'Scramble']",1015,240,630,california,CA,2,297,1,17,25.3,675.0
Seven Springs Trail Loop,4.5,1010,Fremont Older Open Space Preserve,561.0,Loop,"Seven Springs Trail Loop is a 2.6 mile heavily trafficked loop trail located near Cupertino, California that offers scenic views and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",,"['Dogs on leash', 'Kid friendly', 'Hiking', 'Horseback riding', 'Mountain biking', 'Walking', 'Running', 'Views', 'Bugs']",765,1111,1631,california,CA,2,294,0,9,2.6,86.0
Rock Pool and Century Lake Trails,4.5,392,Malibu Creek State Park,331.0,Loop,"Rock Pool and Century Lake Trails is a 4.4 mile heavily trafficked loop trail located near Calabasas, California that features a lake and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Horses are also able to use this trail.","Please note: As of 5/19/20, Century Lake & Rock Pool are currently CLOSED. Please consult the park's website for more information: https://www.parks.ca.gov/?page_id=614

Lovely walk down oak shaded lane, a stunning rock pool with vertical walls of volcanic rock, and a picturesque lake pretty enough for a calendar. An easy hike with lots of variety. At the Rock Pool, watch rock climbers attempt to scale the Planet of the Apes wall, were the movie of the same names was filmed. When you reach Century lake, make sure to take the path down to the lake, its a truly spectacular place to stop for a picnic. Those with more energy can continue on several miles past Century lake to the site of the old M.A.S.H television series.","['Kid friendly', 'Hiking', 'Horseback riding', 'Nature trips', 'Rock climbing', 'Walking', 'Bird watching', 'Running', 'Lake', 'Partially paved', 'River', 'Views', 'Wild flowers', 'Wildlife', 'No dogs']",1640,401,1484,california,CA,1,283,1,15,4.4,107.0
Nevada Falls,5.0,431,Yosemite National Park,2198.0,Out & Back,"Nevada Falls is a 5.4 mile heavily trafficked out and back trail located near Yosemite Valley, California that features a waterfall and is rated as difficult. The trail is primarily used for hiking, walking, and running and is best used from May until October.","Yosemite National Park charges a fee to enter. Fees are $35 per vehicle or $30 per motorcycle. If you are entering on foot, horse, or bike the fee is $20 per person. You can also purchase a park specific annual pass for $70.","['Hiking', 'Walking', 'Running', 'Forest', 'Partially paved', 'River', 'Views', 'Waterfall', 'Fee']",3726,443,3904,california,CA,3,260,1,9,5.4,220.0
Mount Saint Helena Trail,4.5,468,Robert Louis Stevenson State Park,2099.0,Out & Back,"Mount Saint Helena Trail is a 9.3 mile heavily trafficked out and back trail located near Calistoga, California that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, running, and mountain biking and is accessible year-round.","Take in awesome views on a hike to the summit of the highest peak in the California Wine Country.

You might forget you came for the wine when you gaze upon the stunning panorama at the 4,342 summit of Mount St. Helena in Robert Louis Stevenson State Park.

The peak north of Calistoga looms large above the rolling hills of Napa and Sonoma counties in the Northern California Wine Country. The five-mile hike to the summit has over 2,000 feet of elevation gain, so be ready for a workout. 

The hike starts on Stevenson Memorial Trail, climbing just under a mile and passing through the area where the famed author Robert Louis Stevenson  (""Kidnapped,"" ""Treasure Island) honeymooned with his new bride in 1880. 

Next in line is the Mount St. Helena Trail, an old logging road that climbs to the summit over about four miles. Note your turn-off point or you might miss it on the way back.

While the wide dirt road to the summit lacks the appeal of a single-track trail, the eye-popping views of the terrain below are a welcome trade-off.

Best time to go: Clear winter days will offer the clearest views, especially a day or two after a storm goes through. Spring and fall should be gorgeous, but summer will probably be too hot and the Wine Country too crowded.","['Hiking', 'Mountain biking', 'Running', 'Forest', 'Views', 'Wild flowers', 'Wildlife', 'Rocky', 'No shade', 'No dogs']",909,407,918,california,CA,3,274,1,10,9.3,310.0
Tall Trees Grove Loop Trail,4.5,417,Redwood National Park,748.0,Loop,"Tall Trees Grove Loop Trail is a 3.3 mile heavily trafficked loop trail located near Trinidad, California that features a river and is rated as moderate. The trail offers a number of activity options and is best used from March until October.","Note: Free Pass with lock combination is now online only and takes 24-48 hrs. For more information, please see https://www.nps.gov/redw/planyourvisit/talltreespermits.htm

Nice hike through a pretty remote part of Redwood National Park. To gain access to the trailhead you need to stop by the Kuchel visitor center on the coast to get a pass and the combination to the lock on the access gate. It is about 7 miles up to the gate from 101 and about 6 miles down to the trailhead from the gate. The little extra effort is worth it. The trail runs gently down to the Redwood River through some amazing groves of huge trees. It is about 1.5 miles down, then there is a 1 mile flat loop at the bottom with really interesting flora along with more huge trees.","['Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'River', 'Views', 'Wildlife', 'No dogs']",406,374,823,california,CA,2,242,1,11,3.3,110.0
Badwater Basin Salt Flats Trail,4.5,476,Death Valley National Park,9.0,Out & Back,"Badwater Basin Salt Flats Trail is a 1.8 mile heavily trafficked out and back trail located near Death Valley, California that offers the chance to see wildlife and is good for all skill levels. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from October until March.","Death Valley National Park charges a fee to enter. Fees are $30 per vehicle or $25 per motorcycle. If you are entering on foot, horse, or bike the fee is $15 per person. You can also purchase a park specific annual pass for $55.

Hike to the lowest point in the US.","['Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Views', 'Wildlife', 'Rocky', 'Fee', 'No dogs']",351,344,1818,california,CA,1,318,1,10,1.8,44.0
"Point Pinole, Cooks Point, Marsh, Owl Alley, China Cove, Pinole Point, and Bay View Trails",4.5,767,Point Pinole Regional Park,177.0,Loop,"Point Pinole, Cooks Point, Marsh, Owl Alley, China Cove, Pinole Point, and Bay View Trails is a 4.1 mile heavily trafficked loop trail located near San Pablo, California that features beautiful wild flowers and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","Park Features: Point Pinole Regional Shoreline is a 2,315-acre parkland with meadows, aromatic eucalyptus woods, and incredible bay views along bluffs and beaches on San Pablo Bay. Wildlife thrives here, including deer, monarch butterflies, and a diverse bird population. Popular activities include hiking, bicycling, horseback riding, picnicking, camping and fishing.

Trail Highlights: This mainly flat route allows visitors to experience the entire park, including historical features, all the while featuring panoramic views of San Pablo Bay. Restrooms and water are located at the starting point and at the pier.

Trail Directions: From the park’s Giant Highway staging area, head north, past the restrooms, then cross the bridge to your left and continue northwest along the paved Pinole Point Trail. Make a right onto Cook’s Point Trail and continue for .67 miles and turn left onto Marsh Trail. (If you like, take a short detour straight ahead to investigate the historic Black Powder Press). Follow Marsh Trail northwest for .48 miles (eucalyptus grove on left and San Pablo Bay views on right). Next, turn right onto Owl Alley Trail, travel .27 miles, and make a left on China Cove Trail. Soon, turn right onto the wide, paved, Pinole Point Trail. Take it all the way to the picnic tables to find Bay View Trail. To continue the hike, turn left onto Bay View Trail; for a short detour continue straight to explore the pier and its magnificent bay views. Follow Bay View Trail and follow it along and above the shoreline. Head straight as you pass many trails on your left. After 1.21 miles, continue past Cook’s Point Trail on your left, staying on Bay View Trail as it veers left a short distance to the paved Point Pinole Trail. Turn right here, cross the bridge, and retrace your steps back to the parking lot.

Park Curfew/Hours: 5 a.m. to 10 p.m

Fees: $3 parking fee; $2 dog fee","['Dogs on leash', 'Kid friendly', 'Fishing', 'Hiking', 'Horseback riding', 'Mountain biking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Beach', 'Forest', 'Partially paved', 'Views', 'Wild flowers', 'Wildlife', 'Fee']",631,884,806,california,CA,1,380,1,17,4.1,106.0
Mount Diablo Grand Loop Trail,4.5,520,Mount Diablo State Park,1814.0,Loop,"Mount Diablo Grand Loop Trail is a 6.8 mile heavily trafficked loop trail located near Clayton, California that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round.","The Grand Loop offers a bird's-eye view of the Bay Area, and sometimes glimpses far beyond, of the Farallon Islands, Mount Lassen, the Sierra Nevada, and the Santa Cruz Mountains. It's also a a hotspot for wildflowers in the spring. ","['Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'Views', 'Wild flowers', 'Wildlife', 'No dogs']",2149,442,1742,california,CA,3,246,1,10,6.8,238.0
Grotto Trail,4.5,428,Santa Monica Mountains National Recreation Area,561.0,Out & Back,"Grotto Trail is a 2.5 mile heavily trafficked out and back trail located near Malibu, California that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","California Travel and Tourism Commision, P.O. Box 1499 , Sacramento, CA, 95812-1499, Phone: 800-862-2543","['Dogs on leash', 'Kid friendly', 'Camping', 'Hiking', 'Nature trips', 'Walking', 'Running', 'Cave', 'Forest', 'Views', 'Wild flowers', 'Wildlife', 'Rocky']",491,329,1071,california,CA,2,299,1,13,2.5,83.0
Shipwreck Trail,4.0,545,"Palos Verdes Peninsula, California",410.0,Out & Back,"Shipwreck Trail is a 4.6 mile heavily trafficked out and back trail located near Palos Verdes Peninsula, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking and nature trips and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","This is a rocky hike along the beach to a shipwreck site. Although the hike is near the road, it has great views. Wear sturdy shoes. Great ocean views, lovely bays, exciting shipwreck to explore, rocky shoreline. ","['Dogs on leash', 'Hiking', 'Nature trips', 'Beach', 'Views', 'Wild flowers', 'Wildlife', 'Rocky', 'Washed out']",718,440,1477,california,CA,2,328,1,9,4.6,128.0
El Capitan,4.5,715,El Capitan County Preserve,3041.0,Out & Back,"El Capitan is a 10.4 mile heavily trafficked out and back trail located near Lakeside, California that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking and nature trips and is accessible year-round.",Note: El Capitan is CLOSED in August due to extreme summer heat.  Trail is open now as of October 2020,"['Hiking', 'Nature trips', 'Views', 'Wild flowers', 'Rocky', 'No shade']",1303,746,986,california,CA,3,247,1,6,10.4,375.0
Parker Mesa Overlook Trail,4.5,574,Topanga State Park,1171.0,Out & Back,"Parker Mesa Overlook Trail is a 6.9 mile heavily trafficked out and back trail located near Topanga, California that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is accessible year-round.","Awesome ocean views, great picnic area, pretty canyon views

This is a great hike from the Trippet Ranch in Topanga State Park to the Parker Mesa Overlook. The first section of the trail meanders through a lovely oak grove with lush green grass. Above Trippet Ranch, the trail traverses the ridgeline between Topanga and Santa Ynez Canyons, with views of giant sandstone slabs and the ocean peaking out between the folds of the mountains. 

The vista from the Parker Mesa Overlook is stunning. You can see all of the LA basin laid out before you, the snow capped San Gabriel  Mountains to the east, Catalina Island to the south, and the crescent shaped coastline of Santa Monica to the west. ","['Kid friendly', 'Hiking', 'Mountain biking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Views', 'Wild flowers', 'Wildlife', 'No dogs']",1192,623,1427,california,CA,2,250,1,11,6.9,214.0
Bishop Peak Trail from Patricia Drive,4.5,790,Bishop Peak Natural Area,1131.0,Out & Back,"Bishop Peak Trail from Patricia Drive is a 3.4 mile heavily trafficked out and back trail located near San Luis Obispo, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, running, nature trips, and bird watching and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","Bishop Peak, at 1559 feet, is the highest of the Nine Sisters (or Morros) in San Luis Obispo County. The peak is the centerpiece of the Bishop Peak Nature Reserve, and can be accessed from trailheads on Patricia Drive, Highland Drive, or Foothill Road. 

From the trailhead on Patricia Drive, the trail starts as a wide dirt path climbing west uphill to a fenced gate, where you enter the Ferrini Open Space. At a curve in the road, turn left onto a narrow trail just after a short stretch of pavement. Staying on the paved road will lead uphill to a water tank, and the Felsman Loop Trail, which later re-intersects our route.

Switchbacking through open oak woodland, the trail emerges into an open area near a seasonal cattle pond. Follow the main trail uphill to another cattle gate, where the signed Bishop Peak Trail branches left. The trail then goes through a shaded forest, passing a popular rock climbing area before emerging into open chaparral on the south side of Bishop Peak. A series of switchbacks lead up to the saddle between the west and east summits of the peak. At the saddle, a bench marks the end of the maintained trail. The east (and slightly lower) summit can be reached from here by a short scramble over sandstone boulders. On top, there are outstanding views of the entire San Luis Obispo area, including nearby Cerro San Luis Obispo to the east.","['Dogs on leash', 'Hiking', 'Nature trips', 'Bird watching', 'Running', 'Forest', 'Views', 'Wild flowers', 'Wildlife', 'Rocky', 'Scramble']",882,725,2179,california,CA,2,368,1,11,3.4,128.0
Sitton Peak Truck Trail,4.5,812,San Mateo Canyon Wilderness,2037.0,Out & Back,"Sitton Peak Truck Trail is a 10 mile moderately trafficked out and back trail located near Lake Elsinore, California that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","Parking is located directly across the Ortega Oaks Candy Store in the San Juan Loop parking lot.  You will need an Adventure Pass ($35 for an annual pass, $5 for a daily pass per vehicle) in order to park in the lot.  The Bear Canyon Loop trailhead begins a few yards west of the candy store.  ","['Dogs on leash', 'Hiking', 'Views', 'Wild flowers', 'Wildlife', 'Over grown', 'Rocky']",1061,786,1514,california,CA,3,313,1,7,10.0,285.0
The Slot,4.5,541,Anza-Borrego Desert State Park,301.0,Loop,"The Slot is a 2.3 mile heavily trafficked loop trail located near Borrego Springs, California that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking and is best used from September until May.","Slot Canyon is an unmaintained trail off a sand road and far from most visitor traffic. Flash floods formed the breathtaking slot canyon. At points, forty-foot high walls arch above a foot-wide canyon floor.","['Hiking', 'Views', 'Wild flowers', 'Wildlife', 'Rocky', 'Scramble', 'No shade', 'No dogs']",579,473,1005,california,CA,2,238,1,8,2.3,68.0
Tenaya Lake Trail,4.5,129,Yosemite National Park,196.0,Out & Back,"Tenaya Lake Trail is a 3.4 mile moderately trafficked out and back trail located near Yosemite Valley, California that features a lake and is good for all skill levels. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from May until October.","Yosemite National Park charges a fee to enter. Fees are $35 per vehicle or $30 per motorcycle. If you are entering on foot, horse, or bike the fee is $20 per person. You can also purchase a park specific annual pass for $70.

Trail is well maintained and takes you all the way around the lake, with beach access on one side as well. Cut outs along the way where you can walk down to the lake from the trail. Mostly all shaded and in the woods but great views throughout. 
","['Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Beach', 'Forest', 'Lake', 'Views', 'Wild flowers', 'Wildlife', 'Fee', 'No dogs']",234,109,425,california,CA,1,290,1,13,3.4,90.0
